id,statement_id,page_number,item_name,item_code,channel,units,unit_rate,gross_amount,royalty_rate,royalty_amount
f3fa44a4-50e4-4470-b396-e0c36858baba,ae3377f3-6644-4591-a74a-0d48814f1e70,3,Domestic Earn.-Physical,N/A,Physical,1,318.11,318.11,0,388.33
5337c484-aa9b-456e-91d6-db9f33ac3a12,ae3377f3-6644-4591-a74a-0d48814f1e70,3,Domestic Earn.-Digital,N/A,Digital,1,7462.21,7462.21,0,7462.21
42e14de8-9dc7-43e8-9270-9029d1bbb298,ae3377f3-6644-4591-a74a-0d48814f1e70,3,Total Domestic Earnings,N/A,N/A,0,0,7780.32,0,7850.54
aaea3a42-bc54-46db-9d74-c03d4d97c9b6,ae3377f3-6644-4591-a74a-0d48814f1e70,3,Foreign Earn.-Physical,N/A,Physical,1,15.53,15.53,0,22.31
9dae3496-a4f1-4a3e-85dc-47c7a60967e3,ae3377f3-6644-4591-a74a-0d48814f1e70,3,Foreign Earn.-Digital,N/A,Digital,1,3174.09,3174.09,0,3174.09
1a5c901b-f971-43cd-82b9-e05388dd078b,ae3377f3-6644-4591-a74a-0d48814f1e70,3,Total Foreign Earnings,N/A,N/A,0,0,3189.62,0,3196.4
e103cdb2-2def-4aa1-ba94-d371ac388222,ae3377f3-6644-4591-a74a-0d48814f1e70,3,Other Income - Sync,N/A,Sync,1,0.0,5103.64,0,5103.64
0e98cf7d-2662-4bed-a9aa-c89bef2421ff,ae3377f3-6644-4591-a74a-0d48814f1e70,3,Total Other Earnings,N/A,N/A,0,0,0.0,0,5103.64
c65f9104-ecc0-4d90-bbcd-72829cf158c9,ae3377f3-6644-4591-a74a-0d48814f1e70,3,TOTAL EARNINGS,N/A,N/A,0,0,10969.94,0,16150.58
011ec34d-9cd3-4956-9e46-1da2e369b390,ae3377f3-6644-4591-a74a-0d48814f1e70,4,AUTOMATIC PAYMENTS,N/A,N/A,1,0,16150.58,0,16150.58
e7700376-36fe-42c9-b34f-a108413bf4f7,ae3377f3-6644-4591-a74a-0d48814f1e70,5,H1 2024,N/A,N/A,1,141.62,182.29,0,182.29
a4c95730-9381-42bf-bdcb-e93287174eab,ae3377f3-6644-4591-a74a-0d48814f1e70,5,H2 2024,N/A,N/A,1,141.56,182.12,0,182.12
d0fecef3-8937-4e5c-85cb-f45916e0874d,ae3377f3-6644-4591-a74a-0d48814f1e70,5,H1 2025,N/A,N/A,1,0.0,40.67,0,40.67
bb1378ac-1932-4574-ac65-ef72927952d2,ae3377f3-6644-4591-a74a-0d48814f1e70,5,H2 2025,N/A,N/A,1,0.0,21.02,0,21.02
1f446ccd-f1cd-484d-bb09-1ed4506c73ed,ae3377f3-6644-4591-a74a-0d48814f1e70,5,RESERVES,N/A,N/A,1,283.18,426.1,0,426.1
3f4019cf-afe6-4593-96ee-410c6faef417,d8f8cac7-b177-4bd6-be7f-435670360f38,1,Doxology/Amen,30976-301-A,MU - Master Use Revenue,120,2.47,2.47,-0.044,-0.11
