id,statement_id,page_number,schema_type,identifier,description,channel,units,unit_price,gross_amount,rate_percent,royalty_amount,region_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
29b4ddb8-57fb-4c99-b9a2-49ccbdade85b,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,3,territory,,Domestic Earn.-Physical,Physical,1,318.11,318.11,,388.33,,,,,
afe9dfc0-bd83-422b-b49d-1699bbd09239,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,3,territory,,Domestic Earn.-Digital,Digital,1,7462.21,7462.21,,7462.21,,,,,
2f23db77-d236-494e-b2b2-4f3e78b353b1,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,3,territory,,Total Domestic Earnings,,,,7780.32,,7850.54,,,,,
47c185b9-8f14-416c-8e5d-0dd1f64135b6,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,3,territory,,Foreign Earn.-Physical,Physical,1,15.53,15.53,,22.31,,,,,
044e1a7a-7a47-4a7a-b727-1c870b53b641,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,3,territory,,Foreign Earn.-Digital,Digital,1,3174.09,3174.09,,3174.09,,,,,
139e95c8-7525-4621-91fa-0573f7626d81,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,3,territory,,Total Foreign Earnings,,,,3189.62,,3196.4,,,,,
74be33a0-f91b-4f2c-8286-51f611eb2182,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,3,territory,,Other Income - Sync,Sync,1,0.0,5103.64,,5103.64,,,,,
f0a794d0-cb6c-4346-889e-41b65cfc6b2b,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,3,territory,,Total Other Earnings,,,,0.0,,5103.64,,,,,
27a57083-d236-4daf-a4f0-d1d4bce7e569,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,3,territory,,TOTAL EARNINGS,,,,10969.94,,16150.58,,,,,
968cb49e-536d-412e-a4a1-b51fa614caee,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,4,territory,,AUTOMATIC PAYMENTS,,1,,16150.58,,16150.58,,,,,
794e277f-c99b-423b-a4cf-404028a2fa4a,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,5,territory,,H1 2024,,1,141.62,182.29,,182.29,0.7313171029090881,18.0,1.0,3281.0,2271.0
e770b82b-e48e-4084-874d-aedc00179b8e,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,5,territory,,H2 2024,,1,141.56,182.12,,182.12,0.7313171029090881,18.0,1.0,3281.0,2271.0
44bede01-5f0d-4761-a0c4-81bb926dc34a,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,5,territory,,H1 2025,,1,0.0,40.67,,40.67,0.7313171029090881,18.0,1.0,3281.0,2271.0
cae11249-68f2-4646-831e-da9ca9c831c7,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,5,territory,,H2 2025,,1,0.0,21.02,,21.02,0.7313171029090881,18.0,1.0,3281.0,2271.0
3cf1524b-32ba-4b6e-ab63-e0dc1c15ae5d,b2ed0c98-c655-4bf1-ae4d-27d44bdbcf9f,5,territory,,RESERVES,,1,283.18,426.1,,426.1,0.7313171029090881,18.0,1.0,3281.0,2271.0
3fecd782-85f7-46ed-bd70-f4a053588158,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,30976-301-A,Doxology/Amen,MU - Master Use Revenue,120,2.47,2.47,-0.0400,-0.11,0.6858355402946472,113.0,17.0,2442.0,3097.0
be625473-3742-4ca0-993d-9ef5b2645a39,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,30976-301-A,Doxology/Amen,MU - Master Use Revenue,120,2.47,2.47,-0.500,-1.24,0.6858355402946472,113.0,17.0,2442.0,3097.0
fe68aa46-7088-4bda-92f0-50996453c79f,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,30976-301-A,Doxology/Amen,MU - Master Use Revenue,369,10.14,10.14,-0.0400,-0.45,0.6858355402946472,113.0,17.0,2442.0,3097.0
